frame,time_seconds,track_id,class_id,confidence,x1,y1,x2,y2,center_x,center_y,bbox_width,bbox_height
13,0.52,5,0,0.7027655839920044,891,225,921,329,906,277,30,104
13,0.52,6,0,0.6380950212478638,378,227,407,321,393,274,29,94
13,0.52,7,0,0.8686584830284119,325,3,584,563,455,283,259,560
13,0.52,8,0,0.43864065408706665,959,258,983,321,971,290,23,63
14,0.56,1,0,0.8591594696044922,1031,146,1106,350,1069,248,75,204
14,0.56,3,0,0.6255201101303101,978,223,1014,330,996,276,35,107
14,0.56,4,0,0.8157621622085571,1112,225,1156,326,1134,275,44,100
14,0.56,5,0,0.6723465919494629,890,224,921,328,906,276,30,104
14,0.56,6,0,0.7666580080986023,378,225,407,321,393,273,29,96
14,0.56,7,0,0.8210798501968384,328,3,583,561,456,282,254,557
14,0.56,8,0,0.45553550124168396,959,257,983,321,971,289,23,63
15,0.6,1,0,0.8595794439315796,1031,145,1106,349,1069,247,74,204
15,0.6,3,0,0.6239246129989624,979,223,1014,330,996,276,35,106
15,0.6,4,0,0.8126897811889648,1111,225,1155,325,1133,275,44,99
15,0.6,5,0,0.665250837802887,890,224,921,328,906,276,30,103
15,0.6,6,0,0.7854340076446533,378,225,408,322,393,273,30,97
15,0.6,7,0,0.8384578227996826,332,3,583,561,457,282,251,557
15,0.6,8,0,0.4485187232494354,959,257,983,320,971,288,23,63
16,0.64,1,0,0.8534960150718689,1032,145,1106,349,1069,247,74,203
16,0.64,3,0,0.5224858522415161,979,221,1014,329,997,275,34,107
16,0.64,4,0,0.7873241901397705,1110,225,1155,324,1132,274,44,99
16,0.64,5,0,0.6601842045783997,891,224,921,327,906,275,30,103
16,0.64,6,0,0.7794187664985657,378,224,409,321,394,272,30,97
16,0.64,7,0,0.883027195930481,340,4,587,559,464,281,246,555
16,0.64,8,0,0.45330968499183655,959,256,983,320,971,288,24,64
17,0.68,1,0,0.858733057975769,1033,144,1107,348,1070,246,73,203
17,0.68,3,0,0.48317334055900574,980,221,1014,328,997,275,34,107
17,0.68,4,0,0.775960385799408,1109,224,1154,323,1132,274,45,99
17,0.68,5,0,0.661009669303894,891,223,922,326,906,275,30,102
17,0.68,6,0,0.7788562178611755,378,223,409,321,394,272,30,97
17,0.68,7,0,0.8548969626426697,352,3,595,555,473,279,243,551
17,0.68,8,0,0.4485606551170349,959,256,983,320,971,288,24,64
18,0.72,1,0,0.8569570779800415,1035,145,1108,348,1072,246,73,203
18,0.72,3,0,0.513054370880127,980,220,1014,328,997,274,33,107
18,0.72,4,0,0.7655538320541382,1107,223,1153,323,1130,273,45,99
18,0.72,5,0,0.6819043755531311,892,223,922,326,907,274,30,102
18,0.72,6,0,0.7829673290252686,377,222,408,319,393,271,30,96
18,0.72,7,0,0.9039236903190613,368,2,607,544,487,273,238,541
18,0.72,8,0,0.4788040816783905,960,255,984,319,972,287,24,63
19,0.76,1,0,0.8526878356933594,1035,144,1109,347,1072,246,73,202
19,0.76,3,0,0.5408304333686829,980,219,1014,327,997,273,33,107
19,0.76,4,0,0.7542479634284973,1106,222,1152,322,1129,272,46,99
19,0.76,5,0,0.685299277305603,892,222,923,325,907,274,30,103
19,0.76,6,0,0.8067185282707214,377,222,407,318,392,270,30,96
19,0.76,7,0,0.9062665700912476,379,2,614,532,496,267,235,529
19,0.76,8,0,0.4584254324436188,960,255,984,319,972,287,24,63
20,0.8,1,0,0.8490650057792664,1035,144,1108,346,1072,245,73,202
20,0.8,3,0,0.5694963932037354,981,219,1014,327,997,273,32,108
20,0.8,4,0,0.7381221652030945,1105,222,1152,321,1128,272,46,99
20,0.8,5,0,0.6837027072906494,893,222,923,325,908,273,30,103
20,0.8,6,0,0.8011198043823242,376,222,407,318,391,270,30,95
20,0.8,7,0,0.8676186203956604,400,2,636,519,518,261,235,516
20,0.8,8,0,0.4684009253978729,960,255,984,317,972,286,23,62
21,0.84,1,0,0.8532620668411255,1034,144,1108,345,1071,244,73,201
21,0.84,3,0,0.5617101788520813,981,218,1014,326,998,272,32,108
21,0.84,4,0,0.7183122634887695,1105,221,1151,321,1128,271,46,100
21,0.84,5,0,0.6794037222862244,893,221,923,325,908,273,30,103
21,0.84,6,0,0.7779696583747864,376,221,406,317,391,269,30,95
21,0.84,7,0,0.9057630896568298,409,2,650,514,530,258,240,511
21,0.84,8,0,0.45285797119140625,960,255,984,317,972,286,23,61
22,0.88,1,0,0.8423712253570557,1033,143,1108,345,1070,244,74,201
22,0.88,3,0,0.5959438681602478,983,218,1014,325,998,271,31,107
22,0.88,4,0,0.6374044418334961,1106,221,1151,320,1128,270,45,98
22,0.88,5,0,0.6867057681083679,893,220,924,324,908,272,30,104
22,0.88,6,0,0.725723385810852,376,225,405,316,390,270,28,91
22,0.88,7,0,0.9332427978515625,412,2,659,514,536,258,246,511
22,0.88,8,0,0.48044905066490173,960,255,983,315,972,285,23,60
23,0.92,1,0,0.8568419814109802,1034,143,1111,344,1072,244,76,201
23,0.92,3,0,0.6011337041854858,984,217,1014,324,999,271,30,107
23,0.92,4,0,0.6170086860656738,1105,221,1149,319,1127,270,43,97
23,0.92,5,0,0.6942651867866516,893,219,924,324,908,271,30,104
23,0.92,6,0,0.7221920490264893,375,223,404,315,389,269,28,92
23,0.92,7,0,0.9088044762611389,413,1,665,512,539,257,252,510
23,0.92,8,0,0.5084008574485779,959,254,983,315,971,285,23,60
24,0.96,1,0,0.890760064125061,1035,142,1116,344,1075,243,80,202
24,0.96,3,0,0.636776864528656,986,217,1017,323,1001,270,30,106
24,0.96,4,0,0.5876272916793823,1103,222,1146,318,1124,270,42,96
24,0.96,5,0,0.6957316994667053,893,218,923,323,908,270,29,105
24,0.96,6,0,0.6761134266853333,373,223,401,314,387,269,28,91
24,0.96,7,0,0.9272702932357788,406,2,665,515,535,258,258,513
24,0.96,8,0,0.6445373892784119,959,253,983,313,971,283,24,60
25,1.0,1,0,0.8961181044578552,1035,141,1118,344,1077,243,83,202
25,1.0,3,0,0.6183683276176453,987,217,1018,323,1002,270,31,105
25,1.0,4,0,0.6440922617912292,1102,223,1144,318,1123,271,41,94
25,1.0,5,0,0.6995429396629333,894,217,923,323,908,270,29,105
25,1.0,6,0,0.6122404932975769,371,222,400,315,385,269,28,92
25,1.0,7,0,0.9243375062942505,399,2,662,516,531,259,262,514
25,1.0,8,0,0.6787432432174683,958,251,982,313,970,282,24,61
26,1.04,1,0,0.8905974626541138,1036,142,1121,343,1079,243,85,201
26,1.04,3,0,0.6218440532684326,986,217,1017,322,1001,270,31,105
26,1.04,4,0,0.6432897448539734,1101,225,1141,317,1121,271,40,91
26,1.04,5,0,0.7236307263374329,893,217,922,321,907,269,28,104
26,1.04,6,0,0.405642032623291,368,221,397,316,382,268,28,95
26,1.04,7,0,0.9045199155807495,384,2,647,515,516,258,263,513
26,1.04,8,0,0.7427485585212708,956,250,981,313,968,282,25,62
27,1.08,1,0,0.8842308521270752,1036,143,1123,343,1080,243,87,199
27,1.08,3,0,0.6735168695449829,983,216,1015,321,999,269,31,105
27,1.08,4,0,0.6878255009651184,1101,227,1139,317,1120,272,38,89
27,1.08,5,0,0.7469748258590698,892,218,920,320,906,269,28,102
27,1.08,6,0,0.4254615604877472,365,218,395,316,380,267,29,97
27,1.08,7,0,0.9032421112060547,372,2,635,514,504,258,263,512
27,1.08,8,0,0.7230062484741211,954,250,980,313,967,281,25,63
28,1.12,1,0,0.865725040435791,1034,144,1122,341,1078,243,88,197
28,1.12,3,0,0.6890339255332947,981,214,1013,320,997,267,32,105
28,1.12,4,0,0.658410906791687,1097,225,1136,316,1116,271,38,91
28,1.12,5,0,0.7621721625328064,889,218,918,320,903,269,28,102
28,1.12,6,0,0.41291090846061707,362,217,391,313,377,265,28,96
28,1.12,7,0,0.8969366550445557,359,2,616,500,488,251,256,497
28,1.12,8,0,0.6863909959793091,950,248,977,312,963,280,26,63
29,1.16,1,0,0.8287194967269897,1030,144,1120,338,1075,241,89,194
29,1.16,3,0,0.6644778251647949,978,213,1011,319,995,266,32,105
29,1.16,4,0,0.697068989276886,1093,221,1133,316,1113,268,39,95
29,1.16,5,0,0.7633213996887207,887,217,915,320,901,269,28,102
29,1.16,6,0,0.5465522408485413,360,216,389,313,374,264,29,97
29,1.16,7,0,0.8890517950057983,351,3,603,488,477,245,252,485
29,1.16,8,0,0.6448375582695007,947,247,974,312,960,280,27,65
30,1.2,1,0,0.8592661619186401,1023,143,1115,339,1069,241,91,196
30,1.2,3,0,0.7525401711463928,973,214,1006,319,990,267,33,105
30,1.2,4,0,0.719265878200531,1089,220,1128,315,1108,268,39,95
30,1.2,5,0,0.7536658048629761,882,216,911,320,896,268,28,103
30,1.2,6,0,0.5806450843811035,357,216,384,305,370,260,26,88
30,1.2,7,0,0.782261312007904,372,2,631,478,501,240,258,475
30,1.2,8,0,0.7505394220352173,943,247,971,311,957,279,27,64
31,1.24,1,0,0.8595749139785767,1017,139,1110,338,1064,239,93,199
31,1.24,3,0,0.7160112261772156,970,212,1004,319,987,266,33,106
31,1.24,4,0,0.7881080508232117,1085,221,1124,315,1105,268,38,94
31,1.24,5,0,0.7165429592132568,879,215,907,319,893,267,28,103
31,1.24,6,0,0.5766035914421082,353,216,379,300,366,258,25,84
31,1.24,7,0,0.9269835948944092,372,1,638,474,505,238,266,472
31,1.24,8,0,0.7664074301719666,939,247,966,311,952,279,27,63
32,1.28,1,0,0.9086992144584656,1008,136,1103,340,1056,238,95,203
32,1.28,3,0,0.7119751572608948,964,211,999,318,982,265,34,107
32,1.28,4,0,0.6754987239837646,1078,218,1117,315,1098,267,38,96
32,1.28,5,0,0.743110716342926,873,214,901,319,887,267,28,104
32,1.28,6,0,0.6115387678146362,345,216,373,304,359,260,27,88
32,1.28,7,0,0.9341027736663818,363,2,634,475,498,238,270,473
32,1.28,8,0,0.6949116587638855,932,247,959,311,946,279,27,63
33,1.32,1,0,0.9071431756019592,1001,132,1099,339,1050,236,97,207
33,1.32,3,0,0.7074830532073975,961,212,995,319,978,265,34,106
33,1.32,4,0,0.7033781409263611,1075,220,1112,314,1093,267,37,94
33,1.32,5,0,0.7291797399520874,868,214,896,318,882,266,28,103
33,1.32,6,0,0.76938796043396,340,215,368,307,354,261,28,92
33,1.32,7,0,0.9144534468650818,357,2,630,475,493,239,272,473
33,1.32,8,0,0.646016001701355,927,246,955,309,941,278,27,63
34,1.36,1,0,0.8224033713340759,992,128,1090,338,1041,233,97,209
34,1.36,3,0,0.6588397026062012,954,213,988,319,971,266,34,105
34,1.36,4,0,0.7481219172477722,1068,218,1106,314,1087,266,37,96
34,1.36,5,0,0.7140706181526184,861,213,889,317,875,265,28,104
34,1.36,6,0,0.7387114763259888,331,213,361,309,346,261,30,96
34,1.36,7,0,0.9011792540550232,357,2,627,474,492,238,269,471
34,1.36,8,0,0.7592867612838745,921,246,948,308,934,277,27,61
35,1.4,1,0,0.8359590768814087,983,127,1081,338,1032,233,98,211
35,1.4,3,0,0.7278878092765808,947,211,983,318,965,264,35,107
35,1.4,4,0,0.6614354848861694,1063,216,1101,314,1082,265,37,98
35,1.4,5,0,0.7416939735412598,856,212,884,317,870,264,28,105
35,1.4,6,0,0.792998194694519,326,213,356,309,341,261,30,96
35,1.4,7,0,0.8943246603012085,361,2,620,461,491,232,259,458
35,1.4,8,0,0.6939787268638611,915,245,942,307,928,276,27,61
36,1.44,1,0,0.9033311605453491,969,125,1068,341,1018,233,99,216
36,1.44,3,0,0.6858204007148743,939,210,974,318,956,264,35,107
36,1.44,4,0,0.808525025844574,1056,215,1093,314,1074,265,37,99
36,1.44,5,0,0.7345878481864929,848,211,877,316,862,263,28,105
36,1.44,6,0,0.8216750621795654,316,211,347,309,331,260,31,98
36,1.44,7,0,0.8313219547271729,350,2,608,466,479,234,258,463
36,1.44,8,0,0.6714034080505371,907,246,934,307,921,276,27,61
37,1.48,1,0,0.863631010055542,959,125,1057,341,1008,233,97,215
37,1.48,3,0,0.6938278675079346,933,211,968,317,951,264,35,106
37,1.48,4,0,0.678475558757782,1049,214,1086,313,1067,264,37,99
37,1.48,5,0,0.7204887270927429,842,209,871,316,857,263,29,106
37,1.48,6,0,0.8333389163017273,309,211,341,309,325,260,31,98
37,1.48,7,0,0.8479196429252625,344,3,596,460,470,231,251,457
37,1.48,8,0,0.6953266263008118,901,245,929,307,915,276,28,61
38,1.52,1,0,0.8407160639762878,946,125,1041,339,994,232,94,213
38,1.52,3,0,0.7407079339027405,925,209,961,318,943,264,35,108
38,1.52,4,0,0.79358971118927,1041,214,1077,313,1059,263,36,98
38,1.52,5,0,0.7287134528160095,833,209,862,315,848,262,29,106
38,1.52,6,0,0.8119193911552429,299,209,331,308,315,259,31,99
38,1.52,7,0,0.8246184587478638,330,2,582,467,456,235,252,464
38,1.52,8,0,0.7160506844520569,891,244,920,307,906,276,28,62
39,1.56,1,0,0.8065981864929199,935,124,1029,340,982,232,94,215
39,1.56,3,0,0.5331641435623169,921,210,957,318,939,264,35,108
39,1.56,4,0,0.7096859812736511,1035,213,1071,312,1053,263,36,99
39,1.56,5,0,0.7393337488174438,826,208,856,315,841,261,29,107
39,1.56,6,0,0.8470085859298706,291,209,324,309,308,259,32,99
39,1.56,7,0,0.8598763346672058,312,2,558,465,435,234,245,462
39,1.56,8,0,0.6853528022766113,884,243,913,305,898,274,28,61
40,1.6,1,0,0.8357329964637756,920,125,1013,338,967,231,92,213
40,1.6,3,0,0.6013198494911194,910,206,946,317,928,261,35,110
40,1.6,4,0,0.7782792448997498,1025,212,1061,313,1043,262,36,100
40,1.6,5,0,0.7433466911315918,817,208,847,315,832,262,29,106
40,1.6,6,0,0.8516238331794739,280,208,312,308,296,258,32,100
40,1.6,7,0,0.8703470826148987,309,2,550,463,429,233,241,460
40,1.6,8,0,0.6652390360832214,874,243,903,305,889,274,28,61
41,1.64,1,0,0.8484324812889099,911,124,1003,338,957,231,92,213
41,1.64,3,0,0.589883029460907,905,208,940,317,922,262,35,109
41,1.64,4,0,0.6939233541488647,1019,212,1055,312,1037,262,35,100
41,1.64,5,0,0.7287951111793518,810,207,840,315,825,261,29,107
41,1.64,6,0,0.8377663493156433,272,207,305,308,288,258,33,101
41,1.64,7,0,0.9108067154884338,307,2,544,461,425,231,237,458
41,1.64,8,0,0.6226927638053894,867,243,896,304,882,274,28,61
42,1.68,1,0,0.8323638439178467,900,122,994,338,947,230,93,216
42,1.68,4,0,0.8072383403778076,1010,211,1045,311,1028,261,35,100
42,1.68,5,0,0.728553295135498,801,207,831,315,816,261,29,107
42,1.68,6,0,0.84196537733078,262,206,295,308,278,257,33,101
42,1.68,7,0,0.896214485168457,299,3,532,458,416,230,232,454
42,1.68,8,0,0.6622430086135864,858,241,887,304,873,273,29,62
43,1.72,1,0,0.8794450759887695,893,119,989,340,941,230,95,220
43,1.72,4,0,0.7866407632827759,1004,212,1039,312,1021,262,35,100
43,1.72,5,0,0.7459309101104736,795,207,825,315,810,261,29,107
43,1.72,6,0,0.8149271011352539,254,206,288,308,271,257,33,102
43,1.72,7,0,0.8757179379463196,290,3,519,456,404,229,228,452
43,1.72,8,0,0.6666306257247925,851,242,881,305,866,273,29,63
44,1.76,1,0,0.8758337497711182,883,114,982,341,932,228,98,226
44,1.76,4,0,0.7923476099967957,995,211,1030,310,1012,260,35,99
44,1.76,5,0,0.7754995226860046,787,207,817,315,802,261,29,107
44,1.76,6,0,0.8486201167106628,243,205,278,308,260,256,34,103
44,1.76,7,0,0.8159463405609131,276,4,501,459,389,232,224,455
44,1.76,8,0,0.6722440123558044,842,241,872,304,857,273,30,63
45,1.8,1,0,0.893324077129364,874,111,975,342,925,227,101,230
45,1.8,4,0,0.8070282340049744,988,211,1023,311,1005,261,35,100
45,1.8,5,0,0.7405861020088196,781,207,810,314,796,261,29,107
45,1.8,6,0,0.8027356863021851,235,205,270,308,252,257,34,103
45,1.8,7,0,0.8624724745750427,262,4,487,469,375,237,225,465
45,1.8,8,0,0.6702137589454651,836,241,866,305,851,273,30,63
46,1.84,1,0,0.8731122016906738,862,108,966,343,914,226,104,235
46,1.84,4,0,0.7883312702178955,980,211,1015,311,997,261,35,100
46,1.84,5,0,0.7507706880569458,773,207,803,315,788,261,29,107
46,1.84,6,0,0.8539256453514099,226,205,261,308,243,256,34,103
46,1.84,7,0,0.9120758771896362,253,5,475,476,364,241,222,470
46,1.84,8,0,0.5987010598182678,826,240,857,304,842,272,30,64
47,1.88,1,0,0.884942889213562,851,105,958,344,904,225,106,239
47,1.88,4,0,0.8344197869300842,973,210,1010,311,991,260,36,101
47,1.88,5,0,0.736759603023529,767,207,797,315,782,261,29,108
47,1.88,6,0,0.8174073100090027,218,204,253,308,235,256,35,104
47,1.88,7,0,0.8958564400672913,245,5,465,482,355,243,219,477
47,1.88,8,0,0.7140451669692993,820,240,851,303,836,271,30,63
48,1.92,1,0,0.8893749117851257,839,105,947,347,893,226,108,241
48,1.92,4,0,0.796838641166687,964,210,1002,312,983,261,37,101
48,1.92,5,0,0.7632511854171753,759,207,789,316,774,261,30,108
48,1.92,6,0,0.8397667407989502,207,204,242,309,225,257,35,104
48,1.92,7,0,0.8447636961936951,238,4,444,456,341,230,205,452
48,1.92,8,0,0.6075674295425415,811,240,841,304,826,272,30,63
49,1.96,1,0,0.897154688835144,829,105,937,347,883,226,108,242
49,1.96,4,0,0.8140511512756348,958,210,996,313,977,261,38,102
49,1.96,5,0,0.7784528136253357,753,207,783,316,768,262,30,109
49,1.96,6,0,0.8191325068473816,199,203,235,309,217,256,35,105
49,1.96,7,0,0.8158960938453674,230,4,430,451,330,227,200,446
49,1.96,8,0,0.7031537890434265,805,240,835,303,820,272,29,62
50,2.0,1,0,0.8346178531646729,817,103,925,347,871,225,108,244
50,2.0,4,0,0.7797892689704895,949,210,988,313,968,262,39,102
50,2.0,5,0,0.7115915417671204,744,207,774,317,759,262,30,109
50,2.0,6,0,0.8082858324050903,187,204,223,309,205,256,36,105
50,2.0,7,0,0.8608935475349426,217,4,415,453,316,229,198,449
50,2.0,8,0,0.5962013006210327,795,240,825,303,810,272,30,63
51,2.04,1,0,0.8499118685722351,806,103,913,348,859,226,106,245
51,2.04,4,0,0.8050864338874817,943,210,982,312,962,261,39,102
51,2.04,5,0,0.7387322783470154,737,207,767,317,752,262,30,109
51,2.04,6,0,0.8288981318473816,178,203,214,309,196,256,36,105
51,2.04,7,0,0.8112665414810181,207,3,403,452,305,227,195,448
51,2.04,8,0,0.6886852979660034,789,240,819,303,804,271,29,62
52,2.08,1,0,0.8625326752662659,789,100,896,351,842,225,107,251
52,2.08,4,0,0.8113430738449097,935,209,976,312,955,261,40,102
52,2.08,5,0,0.738702118396759,728,205,759,317,744,261,30,111
52,2.08,6,0,0.7015469670295715,166,203,202,308,184,255,36,105
52,2.08,7,0,0.8638388514518738,184,2,384,460,284,231,200,458
52,2.08,8,0,0.5738149881362915,779,240,808,302,794,271,29,62
53,2.12,1,0,0.8518272042274475,777,97,885,351,831,224,108,254
53,2.12,4,0,0.7726266384124756,928,209,970,313,949,261,41,103
53,2.12,5,0,0.7824404835700989,722,205,753,317,737,261,30,111
53,2.12,6,0,0.5770394802093506,158,205,193,307,176,256,35,102
53,2.12,7,0,0.8508990406990051,165,2,370,468,267,235,205,466
53,2.12,8,0,0.5729824304580688,773,240,802,301,787,271,29,61
54,2.16,1,0,0.8806893229484558,759,92,870,355,814,223,110,262
54,2.16,4,0,0.8301237225532532,921,209,963,312,942,260,42,103
54,2.16,5,0,0.7196221351623535,713,204,744,315,728,260,30,110
54,2.16,7,0,0.8592578768730164,139,2,352,477,245,240,213,475
55,2.2,1,0,0.8595829606056213,748,89,860,356,804,222,111,266
55,2.2,4,0,0.8043586611747742,915,208,958,312,937,260,42,103
55,2.2,5,0,0.7182237505912781,706,204,737,315,721,259,30,110
55,2.2,7,0,0.8784236907958984,137,2,361,483,249,243,224,481
56,2.24,1,0,0.8455071449279785,731,85,845,359,788,222,113,273
56,2.24,4,0,0.8364240527153015,907,208,951,312,929,260,43,103
56,2.24,5,0,0.7575477361679077,697,204,728,314,713,259,30,110
56,2.24,7,0,0.8939579129219055,127,2,361,488,244,245,233,485
57,2.28,1,0,0.8785295486450195,719,82,833,360,776,221,114,278
57,2.28,4,0,0.8437305688858032,903,207,946,311,924,259,43,103
57,2.28,5,0,0.7464284300804138,691,203,721,313,706,258,30,109
57,2.28,7,0,0.8666128516197205,114,2,354,491,234,247,240,489
58,2.32,1,0,0.8365491628646851,705,81,819,363,762,222,114,282
58,2.32,4,0,0.8000626564025879,896,207,940,312,918,260,43,104
58,2.32,5,0,0.6697812080383301,682,204,713,313,697,258,30,109
58,2.32,7,0,0.8740901947021484,95,2,334,493,214,248,238,490
58,2.32,6,0,0.6033791303634644,101,202,137,306,119,254,35,103
59,2.36,1,0,0.8415845632553101,689,76,805,365,747,220,116,289
59,2.36,4,0,0.8103097081184387,892,208,936,312,914,260,43,103
59,2.36,5,0,0.5852552056312561,678,204,708,313,693,259,30,109
59,2.36,7,0,0.856619656085968,85,2,323,500,204,251,237,497
59,2.36,6,0,0.6160300374031067,96,211,128,306,112,258,32,94
60,2.4,1,0,0.8233696818351746,675,75,792,367,734,221,116,291
60,2.4,4,0,0.8549569845199585,888,207,931,311,909,259,43,103
60,2.4,5,0,0.47210878133773804,671,208,701,313,686,260,29,105
